run,size,generator,sort,time,comparisons,pointer_changes
6,1024,Reverse,Insertion Sort,0.006000,1023,3069
6,1024,Reverse,Merge Sort,0.001000,5120,8192
6,1024,Almost Sorted,Insertion Sort,0.012000,458744,3048
6,1024,Almost Sorted,Merge Sort,0.001000,7954,11026
6,2048,Random,Insertion Sort,0.045000,1042930,6069
6,2048,Random,Merge Sort,0.001000,19934,26078
6,2048,Sorted,Insertion Sort,0.026000,2096128,0
6,2048,Sorted,Merge Sort,0.002000,11264,17408
6,2048,Reverse,Insertion Sort,0.025000,2047,6141
6,2048,Reverse,Merge Sort,0.001000,11264,17408
6,2048,Almost Sorted,Insertion Sort,0.051000,1913084,6099
6,2048,Almost Sorted,Merge Sort,0.001000,18715,24859
6,4096,Random,Insertion Sort,0.182000,4241463,12168
6,4096,Random,Merge Sort,0.002000,43912,56200
6,4096,Sorted,Insertion Sort,0.101000,8386560,0
6,4096,Sorted,Merge Sort,0.002000,24576,36864
6,4096,Reverse,Insertion Sort,0.098000,4095,12285
6,4096,Reverse,Merge Sort,0.002000,24576,36864
6,4096,Almost Sorted,Insertion Sort,0.200000,7509404,12204
6,4096,Almost Sorted,Merge Sort,0.004000,40721,53009
6,8192,Random,Insertion Sort,0.940000,16755095,24306
6,8192,Random,Merge Sort,0.006000,95948,120524
6,8192,Sorted,Insertion Sort,0.527000,33550336,0
6,8192,Sorted,Merge Sort,0.005000,53248,77824
6,8192,Reverse,Insertion Sort,0.413000,8191,24573
6,8192,Reverse,Merge Sort,0.004000,53248,77824
6,8192,Almost Sorted,Insertion Sort,0.892000,31034014,24447
6,8192,Almost Sorted,Merge Sort,0.006000,88747,113323
6,16384,Random,Insertion Sort,5.731000,67367358,48645
6,16384,Random,Merge Sort,0.016000,208358,257510
6,16384,Sorted,Insertion Sort,1.839000,134209536,0
6,16384,Sorted,Merge Sort,0.010000,114688,163840
6,16384,Reverse,Insertion Sort,2.034000,16383,49149
6,16384,Reverse,Merge Sort,0.009000,114688,163840
6,16384,Almost Sorted,Insertion Sort,4.568000,122583530,49074
6,16384,Almost Sorted,Merge Sort,0.009000,194070,243222
6,32768,Random,Insertion Sort,31.921000,272526988,97365
6,32768,Random,Merge Sort,0.033000,449330,547634
6,32768,Sorted,Insertion Sort,8.964000,536854528,0
6,32768,Sorted,Merge Sort,0.020000,245760,344064
6,32768,Reverse,Insertion Sort,9.208000,32767,98301
6,32768,Reverse,Merge Sort,0.021000,245760,344064
6,32768,Almost Sorted,Insertion Sort,21.786000,491100197,98214
6,32768,Almost Sorted,Merge Sort,0.034000,425510,523814
7,1024,Random,Insertion Sort,0.013000,265847,3033
7,1024,Random,Merge Sort,0.001000,8927,11999
7,1024,Sorted,Insertion Sort,0.007000,523776,0
7,1024,Sorted,Merge Sort,0.001000,5120,8192
7,1024,Reverse,Insertion Sort,0.007000,1023,3069
7,1024,Reverse,Merge Sort,0.001000,5120,8192
7,1024,Almost Sorted,Insertion Sort,0.013000,491344,2937
7,1024,Almost Sorted,Merge Sort,0.002000,8031,11103
7,2048,Random,Insertion Sort,0.045000,1072791,6063
7,2048,Random,Merge Sort,0.001000,19919,26063
7,2048,Sorted,Insertion Sort,0.025000,2096128,0
7,2048,Sorted,Merge Sort,0.001000,11264,17408
